old_card_id,new_card_id,status,was_p0,old_pages,new_pages
munsu-bylaws-part-i,munsu-bylaws-part-i,unchanged-id,,5-5,5-5
munsu-bylaws-part-i-section-a,munsu-bylaws-part-i-section-a,unchanged-id,,5-5,5-5
munsu-bylaws-part-i-section-b,munsu-bylaws-part-i-section-b,unchanged-id,,5-5,5-5
munsu-bylaws-part-i-section-b-clause-1,munsu-bylaws-part-i-section-b-clause-1,unchanged-id,,5-5,5-5
munsu-bylaws-part-i-section-b-clause-2,munsu-bylaws-part-i-section-b-clause-2,unchanged-id,,5-5,5-5
munsu-bylaws-part-i-section-b-clause-3,munsu-bylaws-part-i-section-b-clause-3,unchanged-id,,5-5,5-5
munsu-bylaws-part-i-section-b-clause-4,munsu-bylaws-part-i-section-b-clause-4,unchanged-id,,5-5,5-5
munsu-bylaws-part-i-section-c,munsu-bylaws-part-i-section-c,unchanged-id,,5-5,5-5
munsu-bylaws-part-i-section-c-clause-1,munsu-bylaws-part-i-section-c-clause-1,unchanged-id,,5-5,5-5
munsu-bylaws-part-i-section-c-clause-2,munsu-bylaws-part-i-section-c-clause-2,unchanged-id,,5-5,5-5
munsu-bylaws-part-i-section-c-clause-3,munsu-bylaws-part-i-section-c-clause-3,unchanged-id,,5-5,5-5
munsu-bylaws-part-i-section-c-clause-4,munsu-bylaws-part-i-section-c-clause-4,unchanged-id,,5-5,5-5
munsu-bylaws-part-i-section-d,munsu-bylaws-part-i-section-d,unchanged-id,,5-5,5-5
munsu-bylaws-part-i-section-d-clause-1,munsu-bylaws-part-i-section-d-clause-1,unchanged-id,,5-5,5-6
munsu-bylaws-part-i-section-d-clause-2,munsu-bylaws-part-i-section-d-clause-2,unchanged-id,,6-6,6-6
munsu-bylaws-part-i-section-d-clause-3,munsu-bylaws-part-i-section-d-clause-3,unchanged-id,,6-6,6-6
munsu-bylaws-part-i-section-e,munsu-bylaws-part-i-section-e,unchanged-id,,7-7,7-7
munsu-bylaws-part-i-section-e-clause-1,munsu-bylaws-part-i-section-e-clause-1,unchanged-id,,7-7,7-7
munsu-bylaws-part-i-section-e-clause-2,munsu-bylaws-part-i-section-e-clause-2,unchanged-id,,7-7,7-7
munsu-bylaws-part-i-section-e-clause-3,munsu-bylaws-part-i-section-e-clause-3,unchanged-id,,7-7,7-7
munsu-bylaws-part-i-section-e-clause-4,munsu-bylaws-part-i-section-e-clause-4,unchanged-id,,7-7,7-7
munsu-bylaws-part-i-section-e-clause-5,munsu-bylaws-part-i-section-e-clause-5,unchanged-id,,7-7,7-7
munsu-bylaws-part-i-section-e-clause-6,munsu-bylaws-part-i-section-e-clause-6,unchanged-id,,7-7,7-7
munsu-bylaws-part-i-section-e-clause-7,munsu-bylaws-part-i-section-e-clause-7,unchanged-id,,7-7,7-7
munsu-bylaws-part-i-section-e-clause-8,munsu-bylaws-part-i-section-e-clause-8,unchanged-id,,7-7,7-7
munsu-bylaws-part-i-section-f,munsu-bylaws-part-i-section-f,unchanged-id,,7-7,7-7
munsu-bylaws-part-i-section-f-clause-1,munsu-bylaws-part-i-section-f-clause-1,unchanged-id,,7-7,7-7
munsu-bylaws-part-i-section-f-clause-2,munsu-bylaws-part-i-section-f-clause-2,unchanged-id,,7-7,7-7
munsu-bylaws-part-i-section-f-clause-3,munsu-bylaws-part-i-section-f-clause-3,unchanged-id,,7-7,7-8
munsu-bylaws-part-i-section-g,munsu-bylaws-part-i-section-g,unchanged-id,,8-8,8-8
munsu-bylaws-part-i-section-g-clause-1,munsu-bylaws-part-i-section-g-clause-1,unchanged-id,,8-8,8-8
munsu-bylaws-part-i-section-g-clause-10,munsu-bylaws-part-i-section-g-clause-10,unchanged-id,,8-8,8-8
munsu-bylaws-part-i-section-g-clause-2,munsu-bylaws-part-i-section-g-clause-2,unchanged-id,,8-8,8-8
munsu-bylaws-part-i-section-g-clause-3,munsu-bylaws-part-i-section-g-clause-3,unchanged-id,,8-8,8-8
munsu-bylaws-part-i-section-g-clause-4,munsu-bylaws-part-i-section-g-clause-4,unchanged-id,,8-8,8-8
munsu-bylaws-part-i-section-g-clause-5,munsu-bylaws-part-i-section-g-clause-5,unchanged-id,,8-8,8-8
munsu-bylaws-part-i-section-g-clause-6,munsu-bylaws-part-i-section-g-clause-6,unchanged-id,,8-8,8-8
munsu-bylaws-part-i-section-g-clause-7,munsu-bylaws-part-i-section-g-clause-7,unchanged-id,,8-8,8-8
